fiscalquartername,FiscalPeriod,FiscalYear,Company,Top_Most_BP,BusinessPartner,Item_Number,Item_Description,Ship_to_State,Ship_to_City,Quantity,Planned_Delivery_Date,Address_1,Address_2,Postal_Code,Budget_Qty,Forecast_Qty,Line_of_Business,domestic_or_international,planned_delivery_year,planned_delivery_month,planned_delivery_month_num,planned_delivery_day
"Fiscal Quarter 4, 2010",201011,2010,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201591,BS 1200 APPHM 1F 3400/3400 CTR,CA,Los Banos,280,2010-08-16T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Aug,8,16
"Fiscal Quarter 4, 2010",201012,2010,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Los Banos,47140,2010-09-18T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Sep,9,18
"Fiscal Quarter 4, 2010",201012,2010,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201522,BS 1440 APPHM 1F 5100/INS&CAP,CA,Lemoore,2007,2010-09-15T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Sep,9,15
"Fiscal Quarter 4, 2010",201012,2010,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Lemoore,2992,2010-09-15T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Sep,9,15
"Fiscal Quarter 4, 2011",201110,2011,"613 (Merced, CA)","Hirzel Canning Company, Inc. (CUS000381)","Hirzel Canning Company, Inc. (CUS000380)",200350,BS 1200 APPHM 1F 800X/800,OH,OTTAWA,1206,2011-07-27T00:00:00Z,325 WILLIAMSTOWN ROAD,NA,45875,585,585,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Jul,7,27
"Fiscal Quarter 4, 2011",201110,2011,"613 (Merced, CA)","Hirzel Canning Company, Inc. (CUS000381)","Hirzel Canning Company, Inc. (CUS000380)",206350,BS 1320 APPHM 1F 3400/3400 CTR,OH,OTTAWA,2090,2011-07-27T00:00:00Z,325 WILLIAMSTOWN ROAD,NA,45875,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Jul,7,27
"Fiscal Quarter 4, 2011",201110,2011,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,WILLIAMS,3960,2011-07-19T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,15e3,15e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Jul,7,19
"Fiscal Quarter 4, 2011",201110,2011,"613 (Merced, CA)",Pacific Coast Producers (CUS000499),Pacific Coast Producers (CUS000499),200171,BG 0012 AHV 1700/1700/INS,CA,Woodland,1350,2011-07-20T00:00:00Z,1376 Lemon Avenue,NA,95776-3369,1800,1800,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Jul,7,20
"Fiscal Quarter 4, 2011",201110,2011,"613 (Merced, CA)",Productos Industrializados (CUS003562),Productos Industrializados (CUS003562),200028,BS 0004 APHM 1F 800R/800,TX,Laredo Texas,1200,2011-07-15T00:00:00Z,302 Quivira DR,Pan Americana Park,78045,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Jul,7,15
"Fiscal Quarter 4, 2011",201111,2011,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200340,BS 0880 APPHM 1F 800X/800,IA,Muscatine,154,2011-08-31T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Aug,8,31
"Fiscal Quarter 4, 2011",201111,2011,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,18e3,2011-08-29T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,25e3,25e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Aug,8,29
"Fiscal Quarter 4, 2011",201111,2011,"613 (Merced, CA)",UNILEVER (GPC000012),Unilever Bestfoods (CUS002285),200358,BS 1200 APPHM 1F 1700/INS&CAP,CA,STOCKTON,18480,2011-08-29T00:00:00Z,1400 EAST WATERLOO ROAD,NA,95205,14e3,14e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Aug,8,29
"Fiscal Quarter 4, 2011",201112,2011,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200340,BS 0880 APPHM 1F 800X/800,IA,Muscatine,105,2011-09-27T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Sep,9,27
"Fiscal Quarter 4, 2011",201112,2011,"613 (Merced, CA)",Los Gatos Tomato Products (CUS002293),Los Gatos Tomato Products (CUS002293),201513,BG 0012 AHV 5100/5100/INSRT,CA,Huron,960,2011-09-13T00:00:00Z,19800 Gale Avenue,NA,93234,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Sep,9,13
"Fiscal Quarter 4, 2011",201112,2011,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,WILLIAMS,6480,2011-09-14T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Sep,9,14
"Fiscal Quarter 4, 2011",201112,2011,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS (CUS008744),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,WILLIAMS,1680,2011-09-14T00:00:00Z,6229 MEYERS ROAD,NA,95987-5800,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Sep,9,14
"Fiscal Quarter 4, 2012",201211,2012,"613 (Merced, CA)",HEINZ (GPC000002),Escalon Premier Brands (CUS003581),200301,BS 0220 APHM 1F 800X/800,CA,Escalon,1710,2012-08-29T00:00:00Z,1905 McHenry Avenue,NA,95320-9601,6e3,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Aug,8,29
"Fiscal Quarter 4, 2012",201211,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Williams,69120,2012-08-29T00:00:00Z,2211 Old Highway 99 West,NA,95987-5146,5e4,39e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Aug,8,29
"Fiscal Quarter 4, 2012",201212,2012,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000231)",200313,BS 0220 PVHN IF 1700/INS&CAP,CA,STOCKTON,2488,2012-09-26T00:00:00Z,760 INDUSTRIAL DRIVE,MAIN PLANT,95206,0,10600,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Sep,9,26
"Fiscal Quarter 4, 2012",201212,2012,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Los Banos,43680,2012-09-28T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,34e3,3e4,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Sep,9,28
"Fiscal Quarter 1, 2016",201601,2016,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200299,BS 0220 APM 1F 80R80,IA,Muscatine,1e3,2015-10-13T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Oct,10,13
"Fiscal Quarter 1, 2017",201701,2017,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200299,BS 0220 APM 1F 80R80,IA,Muscatine,2500,2016-10-31T00:00:00Z,1357 Isett Avenue,NA,52761-4521,1e3,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Oct,10,31
"Fiscal Quarter 1, 2019",201901,2019,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Los Banos,6160,2018-10-04T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Oct,10,4
"Fiscal Quarter 2, 2010",201006,2010,"613 (Merced, CA)",UNILEVER (GPC000012),Unilever Bestfoods (CUS007751),201869,BG 1320 PPHN2FT 4300C/4300-OBS,KS,NEW CENTURY,200,2010-03-31T00:00:00Z,27080 W. 159TH STREET,NA,66031-1129,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Mar,3,31
"Fiscal Quarter 2, 2011",201104,2011,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200340,BS 0880 APPHM 1F 800X/800,IA,Muscatine,63,2011-01-25T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Jan,1,25
"Fiscal Quarter 2, 2012",201204,2012,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200340,BS 0880 APPHM 1F 800X/800,IA,Muscatine,105,2012-01-19T00:00:00Z,1357 Isett Avenue,NA,52761-4521,90,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,Jan,1,19
"Fiscal Quarter 3, 2013",201308,2013,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200299,BS 0220 APM 1F 80R80,IA,Muscatine,1500,2013-05-06T00:00:00Z,1357 Isett Avenue,NA,52761-4521,3e3,2500,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,May,5,6
"Fiscal Quarter 3, 2014",201408,2014,"613 (Merced, CA)",Conservas La Costena Sa De Cv (CUS000268),Conservas La Costena Sa De Cv (CUS000268),200325,BS 0220 AVHM 1F 2600/2600-OBS,AZ,"NOGALES, AZ",-10550,2014-02-21T00:00:00Z,1370 N. INDUSTRIAL PARK,NA,85628,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Feb,2,21
"Fiscal Quarter 3, 2014",201408,2014,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),201521,BS 1200 APVHN 5100/INS&CAP CTR,CA,Lemoore,2800,2014-05-16T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,May,5,16
"Fiscal Quarter 3, 2015",201508,2015,"613 (Merced, CA)",HEINZ (GPC000002),Escalon Premier Brands (CUS003581),200301,BS 0220 APHM 1F 800X/800,CA,Escalon,600,2015-05-28T00:00:00Z,1905 McHenry Avenue,NA,95320-9601,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,May,5,28
"Fiscal Quarter 4, 2013",201310,2013,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING (CUS000470),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Los Banos,3200,2013-07-10T00:00:00Z,13448 Volta Road,NA,93635-9785,5e3,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Jul,7,10
"Fiscal Quarter 4, 2013",201311,2013,"613 (Merced, CA)","Hirzel Canning Company, Inc. (CUS000381)","Hirzel Canning Company, Inc. (CUS000380)",200301,BS 0220 APHM 1F 800X/800,OH,OTTAWA,2400,2013-08-09T00:00:00Z,325 WILLIAMSTOWN ROAD,NA,45875,NA,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Aug,8,9
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201591,BS 1200 APPHM 1F 3400/3400 CTR,CA,Dixon,2800,2013-09-19T00:00:00Z,8380 Pedrick Road,NA,95620-9606,5e3,5600,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,19
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)",CONAGRA (GPC000027),Conagra Grocery Products Co. (CUS000266),200316,BS 0220 APHM 1F 1700/INS&CAP,CA,HELM,1350,2013-09-11T00:00:00Z,16429 WEST KAMM AVENUE,NA,93627,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,11
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Corcoran,1600,2013-09-16T00:00:00Z,710 Bainum Avenue,NA,93212-9603,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,16
"Fiscal Quarter 4, 2013",201312,2013,"613 (Merced, CA)",Los Gatos Tomato Products (CUS002293),Los Gatos Tomato Products (CUS002293),201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Huron,11,2013-09-24T00:00:00Z,19800 Gale Avenue,NA,93234,6e3,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2013,Sep,9,24
"Fiscal Quarter 2, 2016",201604,2016,"611 (Northlake, IL)",KMC Citrus Enterprises Inc (CUS000423),KMC Citrus Enterprises Inc (CUS000423),200028,BS 0004 APHM 1F 800R/800,FL,Weirsdale,2400,2016-01-04T00:00:00Z,16425 SE Highway 42,NA,32195-2613,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jan,1,4
"Fiscal Quarter 2, 2016",201605,2016,"613 (Merced, CA)","Hirzel Canning Company, Inc. (CUS000381)","Hirzel Canning Company, Inc. (CUS000380)",201591,BS 1200 APPHM 1F 3400/3400 CTR,OH,OTTAWA,5180,2016-02-15T00:00:00Z,325 WILLIAMSTOWN ROAD,NA,45875,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Feb,2,15
"Fiscal Quarter 2, 2017",201705,2017,"613 (Merced, CA)",Conservas La Costena Sa De Cv (CUS000268),Conservas La Costena Sa De Cv (CUS000268),201387,BS 0002 AVHM 2600/2600 CTR,AZ,"NOGALES, AZ",3400,2017-02-13T00:00:00Z,1370 N. INDUSTRIAL PARK,NA,85628,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Feb,2,13
"Fiscal Quarter 3, 2010",201008,2010,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200340,BS 0880 APPHM 800/800X,IA,Muscatine,105,2010-05-17T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,May,5,17
"Fiscal Quarter 3, 2011",201109,2011,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200299,BS 0220 APM 1F 80R80,IA,Muscatine,1450,2011-06-08T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,Jun,6,8
"Fiscal Quarter 3, 2012",201208,2012,"613 (Merced, CA)",TOMATES INDUSTRIALIZADOS SA de CV (CUS009129),TOMATES INDUSTRIALIZADOS SA de CV (CUS009129),201387,BS 0002 AVHM 2600/2600 CTR,CA,SAN DIEGO,3400,2012-05-18T00:00:00Z,8830 SIEMPRE VIVA ROAD,SUITE 100,92154,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2012,May,5,18
"Fiscal Quarter 4, 2014",201411,2014,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201511,BS 0220 APHM 1F 5100/INS&CAP,CA,Los Banos,99360,2014-08-28T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,34e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Aug,8,28
"Fiscal Quarter 4, 2014",201412,2014,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200299,BS 0220 APM 1F 80R80,IA,Muscatine,1500,2014-09-29T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Sep,9,29
"Fiscal Quarter 4, 2014",201412,2014,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200340,BS 0880 APPHM 1F 800X/800,IA,Muscatine,140,2014-09-25T00:00:00Z,1357 Isett Avenue,NA,52761-4521,100,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Sep,9,25
"Fiscal Quarter 4, 2015",201510,2015,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),MORNING STAR PACKING COMPANY (CUS000469),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Williams,69120,2015-07-31T00:00:00Z,2211 Old Highway 99 West,NA,95987-5146,6e4,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jul,7,31
"Fiscal Quarter 4, 2015",201511,2015,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000231)",200313,BS 0220 PVHN IF 1700/INS&CAP,CA,STOCKTON,6400,2015-08-13T00:00:00Z,760 INDUSTRIAL DRIVE,MAIN PLANT,95206,1e4,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Aug,8,13
"Fiscal Quarter 4, 2015",201511,2015,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),201929,BS 1200 APHM 1F 5100/INS&CAP,CA,Corcoran,26400,2015-08-20T00:00:00Z,27905 Dairy Avenue,NA,93212,15840,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Aug,8,20
"Fiscal Quarter 4, 2015",201512,2015,"613 (Merced, CA)",Ingomar Packing (CUS000390),Ingomar Packing (CUS000390),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Los Banos,14400,2015-09-17T00:00:00Z,9950 South Ingomar Grade,NA,93635-1448,7920,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Sep,9,17
"Fiscal Quarter 4, 2016",201610,2016,"613 (Merced, CA)",HEINZ (GPC000002),Escalon Premier Brands (CUS003581),200301,BS 0220 APHM 1F 800X/800,CA,Escalon,3600,2016-07-19T00:00:00Z,25155 Ullrey Avenue,NA,95320,5e3,2010,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jul,7,19
"Fiscal Quarter 2, 2018",201805,2018,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201591,BS 1200 APPHM 1F 3400/3400 CTR,CA,Dixon,-560,2018-01-22T00:00:00Z,8380 Pedrick Road,NA,95620-9606,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Jan,1,22
"Fiscal Quarter 2, 2018",201806,2018,"613 (Merced, CA)",HEINZ (GPC000002),Escalon Premier Brands (CUS003581),200301,BS 0220 APHM 1F 800X/800,CA,Escalon,600,2018-03-21T00:00:00Z,25155 Ullrey Avenue,NA,95320,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Mar,3,21
"Fiscal Quarter 3, 2011",201108,2011,"613 (Merced, CA)",HEINZ (GPC000002),Escalon Premier Brands (CUS003581),200301,BS 0220 APHM 1F 800X/800,CA,Escalon,1620,2011-05-16T00:00:00Z,1905 McHenry Avenue,NA,95320-9601,0,0,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,May,5,16
"Fiscal Quarter 3, 2014",201407,2014,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200299,BS 0220 APM 1F 80R80,IA,Muscatine,475,2014-04-22T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Apr,4,22
"Fiscal Quarter 3, 2015",201509,2015,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),Del Monte Corporation (CUS000291),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Hanford,800,2015-06-30T00:00:00Z,10652 Jackson Avenue,NA,93230-9552,3e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jun,6,30
"Fiscal Quarter 3, 2015",201509,2015,"613 (Merced, CA)",DEL MONTE CORPORATION (GPC000003),DEL MONTE CORPORATION (CUS009217),206787,BG 0020 AVHV 5100/5100/INSRT,CA,Modesto,2100,2015-06-30T00:00:00Z,4000 Yosemite Blvd,NA,95357-1580,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jun,6,30
"Fiscal Quarter 3, 2015",201509,2015,"613 (Merced, CA)","J.G. Boswell Tomato Co. Kern, LLC (CUS002777)",J. G. Boswell Company (CUS008413),206463,BS 0012 AVHV 5100/5100/INSRT,CA,Corcoran,3200,2015-06-24T00:00:00Z,710 Bainum Avenue,NA,93212-9603,3200,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jun,6,24
"Fiscal Quarter 3, 2015",201509,2015,"613 (Merced, CA)",Los Gatos Tomato Products (CUS002293),Los Gatos Tomato Products (CUS002293),201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,Huron,1080,2015-06-26T00:00:00Z,19800 Gale Avenue,NA,93234,7920,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jun,6,26
"Fiscal Quarter 3, 2015",201509,2015,"613 (Merced, CA)",MORNING STAR PACKAGING COMPANY (GPC000004),Liberty Packing Company (CUS003536),201508,BS 0220 APVHN 1F 5100/INS&CAP,CA,Los Banos,9600,2015-06-26T00:00:00Z,12045 South Ingomar Grade,NA,93635-9796,22e3,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2015,Jun,6,26
"Fiscal Quarter 2, 2016",201604,2016,"613 (Merced, CA)",Conservas La Costena Sa De Cv (CUS000268),Conservas La Costena Sa De Cv (CUS000268),200325,BS 0220 AVHM 1F 2600/2600-OBS,AZ,"NOGALES, AZ",1e4,2016-01-19T00:00:00Z,1370 N. INDUSTRIAL PARK,NA,85628,8520,8e3,TOMATO (PROCESSED FRUIT TOMATO),domestic,2016,Jan,1,19
"Fiscal Quarter 2, 2017",201704,2017,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,280,2017-01-20T00:00:00Z,1357 Isett Avenue,NA,52761-4521,210,350,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Jan,1,20
"Fiscal Quarter 2, 2017",201705,2017,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,280,2017-02-20T00:00:00Z,1357 Isett Avenue,NA,52761-4521,630,140,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Feb,2,20
"Fiscal Quarter 2, 2017",201706,2017,"611 (Northlake, IL)",Productos Industrializados (CUS003562),Productos Industrializados (CUS003562),302202,BS 0220 APHM 1F 2626,AZ,"NOGALES, AZ",8820,2017-03-13T00:00:00Z,1430 N. INDUSTRIAL PARK AVE.,NA,85621,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2017,Mar,3,13
"Fiscal Quarter 3, 2010",201007,2010,620 (Scholle IPN Canada Ltd.),SUN BRITE FOODS INC (CUS200675),SUN BRITE FOODS INC (CUS200675),201591,BS 1200 APPHM 1F 3400/3400 CTR,IL,VAUXHALL,-182,2010-04-23T00:00:00Z,"2933 VAUXHALL RD, REAR OF MALL",NA,7088,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Apr,4,23
"Fiscal Quarter 3, 2010",201008,2010,"613 (Merced, CA)",UNILEVER (GPC000012),Unilever Bestfoods (CUS007751),201869,BG 1320 PPHN2FT 4300C/4300-OBS,KS,NEW CENTURY,380,2010-05-26T00:00:00Z,27080 W. 159TH STREET,NA,66031-1129,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,May,5,26
"Fiscal Quarter 3, 2011",201108,2011,"613 (Merced, CA)",UNILEVER (GPC000012),Unilever Bestfoods (CUS007751),201869,BG 1320 PPHN2FT 4300C/4300-OBS,KS,NEW CENTURY,160,2011-05-26T00:00:00Z,27080 W. 159TH STREET,NA,66031-1129,380,380,TOMATO (PROCESSED FRUIT TOMATO),domestic,2011,May,5,26
"Fiscal Quarter 1, 2019",201901,2019,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000230)",201928,BS 1200 APHM 1F 1700 SPT ONLY,CA,Dixon,6820,2018-10-12T00:00:00Z,8380 Pedrick Road,NA,95620-9606,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Oct,10,12
"Fiscal Quarter 1, 2019",201901,2019,"613 (Merced, CA)","Campbell Soup Supply Company, Llc. (CUS003502)","Campbell Soup Supply Company, Llc. (CUS000231)",201518,BS 1200 APPHM 5100/INS&CAP CTR,CA,STOCKTON,720,2018-10-03T00:00:00Z,760 INDUSTRIAL DRIVE,MAIN PLANT,95206,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Oct,10,3
"Fiscal Quarter 1, 2019",201901,2019,"613 (Merced, CA)","OLAM AMERICAS, INC (CUS008742)",OLAM TOMATO PROCESSORS INC (CUS008743),200304,BS 0220 APPHM 1F 800X/800,CA,Lemoore,2e3,2018-10-15T00:00:00Z,1175 South 19th Avenue,NA,93245-0160,0,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2018,Oct,10,15
"Fiscal Quarter 2, 2010",201004,2010,"611 (Northlake, IL)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200340,BS 0880 APPHM 800/800X,IA,Muscatine,105,2010-01-19T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Jan,1,19
"Fiscal Quarter 2, 2010",201004,2010,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200346,BS 1080 APPHM 2F 80X80 TS43BME,IA,Muscatine,140,2010-01-25T00:00:00Z,1357 Isett Avenue,NA,52761-4521,NA,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2010,Jan,1,25
"Fiscal Quarter 2, 2014",201404,2014,"613 (Merced, CA)",HEINZ (GPC000002),"Heinz USA, Muscatine (CUS003532)",200340,BS 0880 APPHM 1F 800X/800,IA,Muscatine,140,2014-01-17T00:00:00Z,1357 Isett Avenue,NA,52761-4521,100,NA,TOMATO (PROCESSED FRUIT TOMATO),domestic,2014,Jan,1,17
